	Kingdom	Phylum	Class	Order	Family	Genus	ASV
ASV178	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	ASV178
ASV179	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group	ASV179
ASV180	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola	ASV180
ASV181	Archaea	Euryarchaeota	Thermoplasmata	Marine_Group_II	NA	NA	ASV181
ASV182	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA	ASV182
ASV183	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	NA	ASV183
ASV184	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	ASV184
ASV185	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	ASV185
ASV186	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	ASV186
ASV187	Bacteria	NA	NA	NA	NA	NA	ASV187
ASV188	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	NA	ASV188
ASV189	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	NA	ASV189
ASV190	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	ASV190
ASV191	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA	ASV191
ASV192	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	ASV192
ASV193	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	ASV193
ASV194	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	ASV194
ASV195	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	ASV195
ASV196	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ib	ASV196
